time;row_1;
0;1.7364196870153814;
1;34.350189642311925;
2;63.45056589104539;
3;81.78905101014779;
4;97.33030833984537;
5;112.02823236259871;
6;120.05051527741578;
7;122.98174468163158;
8;126.38149553013906;
9;127.95039384384343;
10;128.24836476650322;
11;123.78558250771377;
12;129.15434866144193;
13;131.8595242039985;
14;136.35746349858496;
15;149.4270587187381;
16;163.997573938472;
17;187.03582855572373;
19;1.7691110885267916;
20;-51.599717060980616;
21;-80.67719294302678;
22;-105.54177576507281;
23;-119.05894780903725;
24;-120.14219877115931;
25;-124.96128877230483;
26;-125.35160176690586;
27;-130.20709775923606;
28;-134.95472735584943;
29;-145.8840957088841;
30;-162.86491519006552;
32;-0.5764358246855344;
33;-4.9283586434771465;
34;-16.159756564703727;
35;-13.182394941566987;
36;-18.65441233112377;
37;-21.46346658942268;
38;-24.68485569290219;
39;-26.579464911596133;
40;-24.942369503975677;
41;-22.619294460582687;
42;-21.792593191786427;
43;-17.170012280076808;
44;-13.713429389872829;
45;-8.647250009374918;
47;-0.13533534863973756;
48;-9.256687901923739;
49;-10.330882097492696;
50;-17.218562569607926;
51;-22.152104557849405;
52;-22.535848690965306;
53;-25.57014564310893;
54;-23.29455315722196;
55;-22.314187101696714;
56;-26.34855416729068;
57;-19.930044499837326;
58;-22.25196731979638;
59;-17.56958886318426;
60;-9.101766708099085;
62;-1.861505772827524;
63;33.63280926969497;
64;64.87569350410705;
65;84.08659586263396;
66;98.57548855803752;
67;112.87843299325915;
68;118.58576101013698;
69;121.40901334830541;
70;122.13678893407064;
71;126.32207511619866;
72;126.2135674632005;
73;123.90690787656546;
74;130.72417387583212;
75;128.48877343406818;
76;135.78640036703106;
77;149.94929646914053;
78;164.16938616700295;
79;187.0379384294752;
81;-0.26117007886402116;
82;-6.292654590796505;
83;-12.889113537437487;
84;-15.566754507600045;
85;-23.772404529084223;
86;-19.19988823508115;
87;-25.662011066648443;
88;-26.929118710220408;
89;-25.21862323427592;
90;-23.179996124853766;
91;-21.170537599084952;
92;-13.40506280618827;
93;-11.484609681864109;
94;-9.933285658384197;
96;-1.293877588007351;
97;0.9733685552588438;
98;0.44141664387445045;
99;1.6681830754111724;
100;6.2143246595165795;
101;14.01037050017622;
102;21.655065102526375;
103;29.108012311201424;
104;36.86177166850739;
105;49.0724160283918;
106;55.45549800102169;
107;67.89463735822022;
108;77.90402769249444;
110;2.828924481607534;
111;35.707231606976436;
112;62.36695392128685;
113;83.47752678574825;
114;102.40391152520922;
115;113.76767696985058;
116;116.93895346036457;
117;126.11357673967879;
118;125.32267173620298;
119;123.52060635006455;
120;127.48263161596793;
121;125.56001280195402;
122;127.82466332887194;
123;129.28953847623853;
124;138.4238533834095;
125;146.07431507645256;
126;163.68634843883365;
127;188.99315042836275;
129;0.5466619663034057;
130;0.6841751139385529;
131;1.2332194975592259;
132;3.3475034735965687;
133;8.199818360041474;
134;12.338385419331903;
135;20.334240231538907;
136;25.66031750116729;
137;38.614507882988335;
138;42.75515688110611;
139;53.654878391826976;
140;66.7543289657725;
141;79.03318382939055;
143;-0.5362194100851412;
144;-0.5133792243782959;
145;1.583804478693512;
146;3.3916025806689047;
147;1.7389450117326501;
148;3.6556595562721244;
149;3.0451807474202566;
150;7.838167825048394;
151;6.814875124408252;
152;8.53516494665362;
